Transaction Hash	Status	Method	Blockno	DateTime (UTC)	From	From_Nametag	To	To_Nametag	Amount	Value (USD)	Txn Fee
0xddca92ba5a3adb5c48803b57a4c2a575dc83457e2dfa988193810fe2f293e515	Success	Transfer	49648486	5/14/2025 9:46	0x061f65731068f9439ce2400b187bc49d87ae1044		0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d	USD Coin: USDC Token	0 BNB	$0.00 	0.00017672
0x9dc827ae75775eb6c0151d2bda275c742574afad125e5ed9626f5533ef356ac4	Success	Redeem Underlying	49648463	5/14/2025 9:45	0x061f65731068f9439ce2400b187bc49d87ae1044		0xeca88125a5adbe82614ffc12d0db554e2e2867c8	Venus: vUSDC Token	0 BNB	$0.00 	0.00062604
0xfd74af6831557167096de6a09625889bf1d6eb0cd203e4ef93925a5258bfd3de	Success	Transfer*	49334124	5/8/2025 22:46	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x21a94e8195c4f10d714bc815fa6a4bebf0470e1a1c2404216b4c4417dbeef086	Success	Transfer*	49330815	5/8/2025 21:23	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x167f3e8fe12f240b32b61366a078fc60f623a98295804558cbfdf90a6f4088f0	Success	Transfer*	49306242	5/8/2025 11:07	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x7be08b3a6a14003260d1a1a8569a47a6f43318899896ca6fc756e4cf50a2b3a2	Success	Transfer*	49302436	5/8/2025 9:32	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xc027e5504809b310b5ccd867505c02f4eb579df973ffcf9145ed70f178df0dac	Success	Transfer*	49298577	5/8/2025 7:56	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x8e98eebecfc5d49aaa6f8690dc9096b4f34284a0d8df9a8cb55866c67398e7c5	Success	Transfer*	49295142	5/8/2025 6:30	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0x387142cc77075fc0cb45da63267ca7fcdc27074f84030e14c111ebc0b19e68cf	Success	Transfer*	49291746	5/8/2025 5:05	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
0xcdac36297197b03ae5186427d797e088cd84e4b9169607b33185b67f8b8a98a2	Success	Transfer*	49288291	5/8/2025 3:38	0xdc6c5c603978ab356b7dfea6054f59671d0d65d1	hyperliquid-hype.bnb	0x061f65731068f9439ce2400b187bc49d87ae1044		0 BNB	$0.00 	0.0000314
